Department,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,PerformanceRating,JobSatisfaction,PromotionGapRiskScore,PromotionGapRiskLevel,RetentionOpportunityScore,RetentionOpportunityLevel,RecommendedAction,Attrition
Research & Development,Manufacturing Director,2,6,5,1,4,6,4,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,5,10,4,1,6,4,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,5,3,1,3,5,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,20,16,11,6,3,4,3,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,10,7,0,9,3,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,10,7,0,8,4,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,5,3,3,3,3,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,17,12,5,7,3,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,0,4,3,2,Low,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,2,2,2,1,2,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,3,2,0,2,2,3,2,1,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,5,3,0,2,3,4,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,5,3,2,1,2,4,3,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,8,0,7,7,2,3,2,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,2,2,2,2,5,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,8,7,7,4,0,3,4,6,High,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,4,2,1,2,3,3,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,4,20,4,4,8,2,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,0,0,0,0,2,3,3,1,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,3,11,9,6,9,3,3,2,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,4,1,1,2,3,3,2,0,Low,0,Low,No Immediate Action,0
Sales,Manager,4,22,10,0,4,2,3,2,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,0,0,0,0,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,8,3,0,7,2,3,1,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,8,7,7,7,3,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,18,10,3,7,5,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,9,8,0,8,3,3,2,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,13,8,4,8,3,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,3,10,8,0,1,2,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,5,3,1,2,2,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,2,0,3,4,3,4,0,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,2,2,2,1,0,1,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,3,24,9,9,11,2,3,1,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,2,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Manager,3,10,6,8,8,2,3,2,5,Medium,0,Low,No Immediate Action,0
Research & Development,Manager,4,21,9,11,10,3,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,8,7,1,7,5,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,4,7,1,0,7,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,8,2,7,7,3,3,2,2,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,4,3,1,2,2,3,2,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,13,12,11,9,2,3,2,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,0,4,3,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,7,1,7,3,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,7,7,0,7,0,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,2,2,4,3,4,1,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,2,10,8,1,9,2,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,10,9,8,9,2,4,3,5,Medium,0,Low,No Immediate Action,0
Research & Development,Manager,5,21,9,13,3,2,3,4,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,1,0,0,0,3,3,3,0,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,7,7,0,1,6,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,5,3,2,1,1,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,9,7,0,0,3,3,3,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,1,4,0,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,4,3,0,3,4,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,1,0,0,0,1,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,10,9,9,8,3,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,4,3,0,2,2,4,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,7,7,0,7,4,3,1,2,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,3,2,2,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,10,9,1,2,2,3,3,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,8,7,0,7,3,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,6,2,0,4,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,3,11,10,2,9,3,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,11,9,4,10,2,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,7,1,7,2,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,16,6,0,13,5,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,4,2,0,2,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,5,4,1,2,3,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,2,0,0,0,0,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,1,0,0,0,2,3,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,4,3,0,2,3,3,3,1,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,3,2,1,0,5,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,8,0,0,7,4,3,2,0,Low,0,Low,No Immediate Action,0
Sales,Manager,3,0,0,0,0,3,4,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,7,7,6,7,2,3,1,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,2,2,2,2,2,3,3,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,8,7,7,7,3,3,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,1,0,0,0,6,4,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,3,2,1,2,3,3,2,0,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,1,0,0,0,6,3,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,13,9,1,12,2,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,3,2,1,2,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,7,7,1,7,3,3,3,2,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,3,2,2,2,3,4,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,1,0,0,0,2,3,3,1,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,5,4,0,3,3,4,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,1,0,0,0,2,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,8,7,7,7,5,3,2,4,Medium,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,3,4,3,1,3,2,3,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,6,4,1,0,6,3,3,1,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,2,2,2,2,5,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,1,0,0,0,0,3,2,2,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,3,2,1,2,4,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,1,1,0,0,5,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,2,0,4,2,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,5,0,7,1,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,5,2,0,0,2,4,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,7,0,7,2,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,2,2,3,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,2,0,4,3,3,4,0,Low,0,Low,No Immediate Action,1
Research & Development,Manager,4,5,4,1,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,2,0,3,2,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,1,0,0,0,3,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,6,4,0,4,2,4,1,2,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,2,1,1,2,1,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,10,9,9,0,2,3,3,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,4,4,4,0,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,18,7,12,17,2,3,1,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,1,3,5,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,2,1,2,5,3,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,1,0,0,1,2,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,25,10,3,9,3,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,1,0,0,0,3,4,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,5,4,2,1,2,4,3,1,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,3,2,1,2,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,13,10,3,12,5,3,1,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,3,2,1,2,1,4,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,5,2,0,2,3,3,3,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,1,3,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,13,11,10,7,2,3,3,5,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,4,2,3,2,3,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Manager,5,21,8,1,6,3,3,3,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,4,7,7,7,7,0,3,1,6,High,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,4,4,6,3,3,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,10,7,0,7,2,3,1,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,10,0,1,8,2,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,0,2,5,3,1,0,Low,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,3,5,4,0,4,4,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,0,2,3,4,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Manager,4,5,2,1,4,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,5,4,0,2,3,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,5,4,0,2,2,4,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Manager,5,29,8,11,10,5,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,10,7,0,8,5,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,6,5,0,4,4,3,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,5,3,1,4,4,3,2,1,Low,0,Low,No Immediate Action,1
Sales,Sales Representative,1,2,2,1,0,3,3,3,0,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,1,0,0,0,3,4,4,0,Low,0,Low,No Immediate Action,0
Sales,Manager,5,20,15,1,12,2,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,0,2,3,4,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,3,1,4,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,3,10,2,0,7,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,1,1,2,3,2,1,Low,0,Low,No Immediate Action,1
Human Resources,Human Resources,1,1,0,0,0,3,3,4,0,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,3,9,8,7,8,3,3,1,4,Medium,0,Low,No Immediate Action,0
Sales,Manager,4,1,0,0,0,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Manager,4,27,10,15,7,2,3,3,5,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,11,7,6,7,2,3,4,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,18,13,13,11,5,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,5,0,0,4,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,3,2,0,1,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,4,4,3,2,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,1,0,0,0,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,7,3,5,7,3,3,3,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,3,2,1,2,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,13,8,0,8,6,4,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Manager,3,7,6,7,7,2,3,3,5,Medium,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,4,3,1,3,2,3,4,2,Low,0,Low,No Immediate Action,1
Sales,Sales Representative,1,3,2,1,2,3,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,8,7,0,0,2,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,1,0,0,0,2,3,3,1,Low,0,Low,No Immediate Action,1
Human Resources,Human Resources,3,3,2,0,2,2,3,1,1,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,2,2,2,0,4,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,10,3,9,7,3,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,1,2,3,3,3,0,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,9,7,6,7,2,3,4,5,Medium,0,Low,No Immediate Action,0
Sales,Manager,4,10,9,7,7,2,4,2,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,14,3,1,10,3,3,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,11,9,6,9,2,3,3,5,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,4,20,6,5,13,3,3,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,8,3,0,7,3,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,6,5,0,5,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,10,9,5,8,5,4,1,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,8,7,3,7,3,3,2,3,Medium,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,7,7,1,0,2,3,3,3,Medium,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,2,3,2,1,2,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,6,1,0,5,2,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Manager,3,5,4,0,1,3,4,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,0,0,0,0,3,3,2,0,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,3,1,0,0,1,2,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,8,7,0,7,3,3,3,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,0,0,0,0,5,3,3,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,0,3,3,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,10,7,5,7,3,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,3,3,4,0,Low,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,3,6,5,1,2,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,2,2,1,2,3,3,3,0,Low,0,Low,No Immediate Action,0
Sales,Manager,4,18,16,11,8,2,3,1,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,9,5,7,7,6,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,10,9,6,9,3,3,1,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,4,2,1,2,2,3,3,1,Low,0,Low,No Immediate Action,1
Sales,Sales Representative,1,2,2,2,1,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,1,0,0,0,4,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,6,5,4,3,2,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,5,31,9,0,9,5,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,6,5,1,4,3,3,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,3,1,4,5,4,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,2,4,2,1,Low,0,Low,No Immediate Action,0
Human Resources,Manager,5,32,5,10,7,2,3,2,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,7,4,0,6,1,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,6,3,1,2,4,3,3,1,Low,0,Low,No Immediate Action,1
Sales,Sales Representative,1,1,0,0,0,2,3,1,1,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,6,5,1,3,3,3,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,3,1,1,2,2,3,1,1,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,2,3,2,0,2,3,3,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,7,5,7,4,4,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,3,0,3,5,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,3,0,1,0,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,0,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,10,2,2,2,4,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,1,0,0,0,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,0,0,0,0,3,3,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,8,7,4,7,3,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manager,4,3,2,0,2,3,3,1,0,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,2,2,2,0,2,1,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,8,2,0,6,3,3,3,0,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,4,3,0,2,3,3,1,1,Low,0,Low,No Immediate Action,1
Sales,Sales Representative,1,3,2,1,2,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Manager,5,2,2,0,1,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,2,2,3,4,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,0,1,2,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,6,4,0,5,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,2,4,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,14,7,8,10,2,4,1,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,10,9,8,8,4,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,1,1,0,0,4,3,1,0,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,3,2,0,2,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,10,7,7,8,2,3,3,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,6,0,1,2,5,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,17,11,11,8,3,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,13,11,4,7,2,4,4,4,Medium,0,Low,No Immediate Action,0
Human Resources,Human Resources,3,9,7,7,1,1,3,2,5,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,3,2,0,2,2,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,4,2,1,1,0,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,1,1,5,3,3,0,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,10,8,9,7,3,3,1,4,Medium,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,1,0,0,0,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,0,2,3,3,1,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,3,2,1,2,4,4,2,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,7,0,5,2,4,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,10,7,2,8,5,3,4,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,2,2,2,2,3,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,6,5,0,4,3,4,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,20,8,3,8,3,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,8,7,7,7,3,3,2,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,2,2,2,0,3,3,3,1,Low,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,2,20,7,11,10,4,3,3,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,10,7,0,8,2,3,4,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,4,3,1,3,4,3,3,1,Low,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,2,9,7,1,8,4,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,9,7,0,7,3,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,3,7,7,7,7,6,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,7,1,7,2,3,1,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,18,13,1,12,2,4,1,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,4,5,1,1,3,3,3,3,0,Low,0,Low,No Immediate Action,0
Human Resources,Manager,5,21,6,12,6,2,3,4,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,2,2,2,2,1,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,9,7,1,7,4,4,1,2,Low,0,Low,No Immediate Action,0
Human Resources,Manager,5,22,7,2,10,3,3,3,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,2,2,2,2,2,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,7,7,3,7,4,3,2,3,Medium,0,Low,No Immediate Action,1
Research & Development,Research Director,3,8,7,0,5,2,3,1,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,1,0,0,0,4,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,2,1,4,5,3,3,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,4,22,2,11,13,2,3,3,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,8,7,7,7,2,4,4,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,1,0,0,0,6,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,2,2,2,3,3,2,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,2,2,2,2,5,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,5,1,4,3,2,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,4,3,0,2,2,3,1,2,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,2,8,3,3,6,3,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,4,10,7,1,1,1,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,4,2,2,3,2,4,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,7,6,0,7,2,3,1,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,2,2,2,2,2,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,2,2,2,2,4,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,1,0,0,0,2,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,10,8,4,7,2,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,1,0,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,0,0,0,0,3,3,1,0,Low,0,Low,No Immediate Action,0
